CRASH_DATE	SEVERITY	CRASH_TYPE	CYCLISTS	CYCLIST_CASUALTIES	REPORTED_LOCATION	LATITUDE	LONGITUDE
16-May-17	Property Damage Only	Right angle collision	1	0	A'BECKETT/KNOX (SW) INTERSECTION	-35.237777	149.153147
12-May-12	Injury	Collision with parked vehicle	1	1	ADELAIDE AVENUE (COTTEADELERM -> YARRA GLEN)	-35.314769	149.094073
14-Dec-16	Injury	Rear end collision	1	1	ADELAIDE AVENUE (COTTEADELERM -> YARRA GLEN)	-35.314352	149.095484
22-Feb-12	Injury	Overturned (On Road)	1	1	ADELAIDE AVENUE (EMPIRE -> ADELWHOPESRM)	-35.311252	149.111479
1-May-13	Injury	Rear end collision	1	1	ADELAIDE AVENUE (STATNADELWRM -> NATIONAL)	-35.310166	149.115856
3-Jul-15	Property Damage Only	Same direction side swipe	1	0	ADELAIDE/ADELEHOPENRM INTERSECTION	-35.312712	149.104997
23-Jan-15	Property Damage Only	Rear end collision	1	0	ADELAIDE/ADELWKENTSRM/NOVASADELERM INTERSECTION	-35.313288	149.102291
13-May-14	Injury	Same direction side swipe	1	1	ADELAIDE/ADELWKENTSRM/NOVASADELERM INTERSECTION	-35.313288	149.102291
16-Jul-15	Property Damage Only	Same direction side swipe	1	0	ADELAIDE/COTTEADELERM INTERSECTION	-35.314087	149.096535
15-Oct-15	Property Damage Only	Same direction side swipe	1	0	ADELAIDE/COTTEADELERM INTERSECTION	-35.314004	149.096505
13-Nov-12	Property Damage Only	Right angle collision	1	0	ADELWKENTSRM/KENT INTERSECTION	-35.314365	149.098262
3-Mar-15	Property Damage Only	Other - Vehicle to Vehicle	1	0	AIKMAN/GINNINDERRA INTERSECTION	-35.230856	149.080148
16-Nov-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	AINSLIE/COOYONG INTERSECTION	-35.279346	149.135632
11-Feb-14	Fatal	Right angle collision	1	1	AINSLIE/DOONKUNA INTERSECTION	-35.278305	149.138738
4-Sep-13	Property Damage Only	Right turn into oncoming vehicle	1	0	AINSLIE/LIMESTONE INTERSECTION	-35.2763	149.14379
27-Mar-14	Property Damage Only	Right turn into oncoming vehicle	1	0	AINSLIE/LIMESTONE INTERSECTION	-35.276175	149.143722
15-Nov-16	Property Damage Only	Same direction side swipe	1	0	AINSLIE/LIMESTONE INTERSECTION	-35.276403	149.143848
21-May-17	Property Damage Only	Right angle collision	1	0	AINSWORTH/BUTTERS INTERSECTION	-35.354114	149.09734
24-Mar-13	Property Damage Only	Same direction side swipe	1	0	AINSWORTH/HINDMARSH INTERSECTION	-35.349094	149.094094
8-Feb-12	Injury	Right angle collision	1	1	AINSWORTH/POWER INTERSECTION	-35.353228	149.095178
31-Aug-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	ALAWA STREET (YANDA -> GALIBAL)	-35.348416	149.064688
27-Nov-14	Injury	Same direction side swipe	1	1	ALBANY/COLLIE INTERSECTION	-35.327368	149.180426
8-Jul-15	Property Damage Only	Same direction side swipe	1	0	ALEXANDRINA DRIVE (CORONATION/FLYNN -> MARINER)	-35.30103	149.118957
4-Dec-13	Injury	Same direction side swipe	2	1	ALEXANDRINA DRIVE (MARINER -> HOPETOUN)	-35.299275	149.114824
29-Oct-13	Property Damage Only	Right angle collision	1	0	ALEXANDRINA/CORONATION/FLYNN INTERSECTION	-35.300644	149.122059
6-Nov-12	Injury	Right angle collision	1	1	ALEXANDRINA/CORONATION/FLYNN INTERSECTION	-35.300487	149.122262
20-Jun-16	Property Damage Only	Right angle collision	1	0	ALEXANDRINA/CORONATION/FLYNN INTERSECTION	-35.300499	149.121906
27-May-17	Property Damage Only	Right angle collision	1	0	ALEXANDRINA/CORONATION/FLYNN INTERSECTION	-35.300368	149.122097
21-Apr-14	Injury	Right turn into oncoming vehicle	1	1	ALINGA/CITY/EAST/MORT INTERSECTION	-35.278565	149.130624
23-Jan-13	Injury	Struck pedestrian (On Road)	1	0	ALINGA/CITY/EAST/MORT INTERSECTION	-35.278543	149.130627
13-Jan-16	Injury	Other - Vehicle to Vehicle	1	1	ALINGA/MARCUS CLARKE INTERSECTION	-35.278151	149.126365
13-Aug-13	Property Damage Only	Right turn into oncoming vehicle	1	0	ALINGA/MOORE/WEST INTERSECTION	-35.27827	149.127908
18-Oct-12	Injury	Same direction side swipe	1	1	ALINGA/MOORE/WEST INTERSECTION	-35.27825	149.127718
23-Apr-14	Property Damage Only	Right angle collision	1	0	ALINGA/NORTHBOURNE INTERSECTION	-35.278426	149.129344
21-Jun-12	Property Damage Only	Right angle collision	1	0	ALLAMBEE/DOONKUNA INTERSECTION	-35.279179	149.139243
8-May-13	Property Damage Only	Other - Vehicle to Vehicle	1	0	ALLARA STREET (BINARA/CITY -> NANGARI)	-35.283082	149.133328
29-Jul-15	Property Damage Only	Right angle collision	1	0	ALLARA STREET (CONSTITUTION -> PARKEALLAN)	-35.285022	149.131604
27-Aug-12	Injury	Collision with parked vehicle	1	1	ALLARA STREET (NANGARI -> CONSTITUTION)	-35.28366	149.132814
23-Sep-13	Injury	Right angle collision	1	0	ALLAWOONA/GINNINDERRA/WANDERLIGHT INTERSECTION	-35.233785	149.087197
29-Jan-12	Property Damage Only	Other - Vehicle to Vehicle	1	0	ALLAWOONA/GINNINDERRA/WANDERLIGHT INTERSECTION	-35.233578	149.087334
23-Feb-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	ALLSOP STREET (CHILDERS -> MARCUS CLARKE)	-35.27853	149.124895
16-Jun-15	Injury	Other - Vehicle to Vehicle	1	1	ALLSOP/CHILDERS INTERSECTION	-35.278275	149.124542
12-Jan-17	Property Damage Only	Same direction side swipe	1	0	ALLSOP/MARCUS CLARKE INTERSECTION	-35.279084	149.12583
3-Dec-13	Injury	Other - Vehicle to Vehicle	1	1	ALPEN STREET (CLIFFORD -> BADDELEY)	-35.205588	149.062183
29-Nov-13	Injury	Head on collision	1	1	AMBALINDUM STREET (GOODPARLA -> MARRAKAI) (SW)	-35.253032	149.03856
8-Dec-16	Property Damage Only	Right angle collision	1	0	ANGAS/IJONG/LIMESTONE INTERSECTION	-35.264574	149.13681
18-Dec-13	Injury	Same direction side swipe	1	1	ANKETELL/ATHLLON (SW) INTERSECTION	-35.424784	149.074382
24-May-17	Injury	Same direction side swipe	1	1	ANKETELL/ATHLLON (SW) INTERSECTION	-35.424769	149.074447
19-Nov-16	Injury	Right angle collision	1	1	ANKETELL/BARTLET/DREW INTERSECTION	-35.412299	149.063926
18-Dec-14	Injury	Right angle collision	1	1	ANKETELL/COWLISHAW INTERSECTION	-35.41341	149.065925
12-May-14	Property Damage Only	Other - Vehicle to Vehicle	1	0	ANTHONY ROLFE AVENUE (GUNDAROO/MIRRABEI -> GUNDAROO)	-35.182119	149.128919
18-Jun-14	Injury	Other - Vehicle to Vehicle	1	1	ANTHONY ROLFE//BOREHAM/BOON INTERSECTION	-35.183285	149.134787
7-Oct-13	Injury	Other - Vehicle to Vehicle	1	1	ANTHONY ROLFE//BOREHAM/BOON INTERSECTION	-35.183235	149.134777
19-Mar-16	Property Damage Only	Right angle collision	1	0	ANTHONY ROLFE/GOZZARD INTERSECTION	-35.182986	149.13287
9-Oct-12	Property Damage Only	Right angle collision	1	0	ANTHONY ROLFE/GUNDAROO/MIRRABEI INTERSECTION	-35.181799	149.128676
13-Apr-13	Property Damage Only	Right angle collision	1	0	ANTHONY ROLFE/GUNDAROO/MIRRABEI INTERSECTION	-35.181863	149.12863
20-Dec-12	Property Damage Only	Same direction side swipe	1	0	ANTILL STREET (HAWDON -> ROSEVEAR)	-35.248676	149.144228
