CAMERA TYPE,CAMERA LOCATION CODE,Location,
RED LIGHT AND SPEED CAMERA,1001,-35.27941,149.12925
RED LIGHT AND SPEED CAMERA,1002,-35.2761,149.12948
RED LIGHT AND SPEED CAMERA,1004,-35.37887,149.056401
RED LIGHT AND SPEED CAMERA,1006,-35.24783,149.13412
RED LIGHT AND SPEED CAMERA,1007,-35.23108,149.08095
RED LIGHT AND SPEED CAMERA,1008,-35.3483,149.068284
RED LIGHT AND SPEED CAMERA,1011,-35.22168,149.06305
RED LIGHT AND SPEED CAMERA,1020,-35.2755,149.12725
RED LIGHT AND SPEED CAMERA,1021,-35.35072,149.101271
RED LIGHT AND SPEED CAMERA,1022,-35.34887,149.085881
RED LIGHT AND SPEED CAMERA,1023,-35.33802,149.176871
RED LIGHT AND SPEED CAMERA,1024,-35.31963,149.135771
RED LIGHT AND SPEED CAMERA,1025,-35.1863,149.1191
FIXED ONLY SPEED CAMERA,1027,-35.2281,149.12348
FIXED ONLY SPEED CAMERA,1028,-35.39088,149.162221
FIXED ONLY SPEED CAMERA,1029,-35.40282,149.147581
FIXED ONLY SPEED CAMERA,1030,-35.22567,149.16112
FIXED ONLY SPEED CAMERA,1031,-35.22413,149.16758
FIXED ONLY SPEED CAMERA,1032N,-35.34167,149.162871
FIXED ONLY SPEED CAMERA,1032S,-35.34168,149.163271
FIXED ONLY SPEED CAMERA,1033N,-35.34778,149.069481
FIXED ONLY SPEED CAMERA,1033S,-35.34768,149.069651
FIXED ONLY SPEED CAMERA,1034,-35.3193,149.06346
FIXED ONLY SPEED CAMERA,1035,-35.31917,149.06372
POINT TO POINT CAMERA,2002/2003,-35.3471,149.10827
POINT TO POINT CAMERA,2001/2004,-35.34427,149.13548
MOBILE SPEED CAMERA,0001A,-35.3139,149.0995
MOBILE SPEED CAMERA,0001B,-35.31233,149.10587
MOBILE SPEED CAMERA,0001C,-35.31088,149.11324
MOBILE SPEED CAMERA,0001D,-35.31073,149.11328
MOBILE SPEED CAMERA,0002A,-35.24864,149.14285
MOBILE SPEED CAMERA,0002B,-35.24881,149.14293
MOBILE SPEED CAMERA,0002C,-35.24843,149.14535
MOBILE SPEED CAMERA,0002D,-35.24855,149.1453
MOBILE SPEED CAMERA,0002E,-35.24783,149.14978
MOBILE SPEED CAMERA,0002E,-35.24791,149.14976
MOBILE SPEED CAMERA,0002F,-35.24796,149.14935
